SUBJECT_MEASURE_ACCESSION	ALGORITHM	CATEGORY_TITLE	DESCRIPTION	MEASUREOFCENTRALTENDENCY	MEASUREOFDISPERSION	MEASURETYPE	OUTCOMETYPE	STUDY_ACCESSION	TIMEFRAME	TITLE	UNITOFMEASURE	WORKSPACE_ID
SMD415	CAPSULA = sum of ZCAPSUL where AMPM = AM		The sum of number of rescue medication taken in AM	Mean		Number	Secondary Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season NUMBER OF RESCUE MEDS USED - AM (CAPSULA)	tablet	990
SMD449	LBCFB where LBTEST = BASOPHILS		LAB CHANGE FROM BASELINE (BASOPHILS)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (BASOPHILS)	%	990
SMD450	LBCFB where LBTEST = EOSINOPHILS		LAB CHANGE FROM BASELINE (EOSINOPHILS)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (EOSINOPHILS)	%	990
SMD418	RMEDSA = count of unique DIDT (day) where ZCAPSUL > 0 and AMPM = AM		The sum of days rescue medication taken in AM	Mean		Number	Primary Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season NUM OF DAYS OF RESCUE MEDS - AM (RMEDSA)	day	990
SMD424	DLYRRN = the mean of all ZDISYM2		Average of the DAILY RHINORRHEA SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season DAILY RHINORRHEA SYMPTOM SCORE (DLYRRN)		990
SMD427	DLYNCS = the mean of all ZDISYM5		Average of the DAILY CONGESTION SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season DAILY CONGESTION SYMPTOM SCORE (DLYNCS)		990
SMD434	DLYPMRRN = the mean of all ZDISYM2 where AMPM = PM		Average of the PM RHINORRHEA SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season PM RHINORRHEA SYMPTOM SCORE (DLYPMRRN )		990
SMD346	BASNCSD = the mean of ZDISYM5		Average of the DAILY CONGESTION SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	DAILY CONGESTION BASE SCORE (BASNCSD)		990
SMD349	BASINTAM = the mean of ZDISYM3 where AMPM = AM		Average of the AM ITCHY THROAT SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	AM ITCHY THROAT BASE SCORE (BASINTAM)		990
SMD354	BASINTPM = the mean of ZDISYM3 where AMPM = PM		Average of the PM ITCHY THROAT SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	PM ITCHY THROAT BASE SCORE (BASINTPM)		990
SMD361	RMEDST = count of unique DIDT (day) where ZCAPSUL > 0		The sum of days rescue medication taken	Mean		Number	Secondary Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season NUM OF DAYS OF RESCUE MEDS  (RMEDST)	day	990
SMD363	RMEDSP = count of unique DIDT (day) where ZCAPSUL > 0 and AMPM = PM		The sum of days rescue medication taken in PM	Mean		Number	Secondary Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season NUM OF DAYS OF RESCUE MEDS - PM (RMEDSP)	day	990
SMD380	DLYPMIWE = the mean of all ZDISYM4 where AMPM = PM		Average of the PM ITCHY EYES SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season PM ITCHY EYES SYMPTOM SCORE (DLYPMIWE)		990
SMD391	DLYAMSEV = mean of all ZDISYM1 – ZDISYM5 where AMPM = AM		The mean of all DAILY AM SEVERITY SCORE during all the study days in a year	Mean		Continuous	Secondary Outcome Measure	SDY1	During all the study days in AM in a year	DAILY AM SEVERITY SCORE (DLYAMSEV)		990
SMD399	DLYINT = the mean of all ZDISYM3		The mean of all the DAILY ITCHY NOSE SCORE during all the study days in a year	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	During all the study days in a year	DAILY ITCHY NOSE SCORE (DLYINT )		990
SMD406	DLYAMNCS = the mean of all ZDISYM5 where AMPM = AM		The mean of all the DAILY AM CONGESTION SCORE during all the study days in a year	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	During all the study days in AM in a year	DAILY AM CONGESTION SCORE (DLYAMNCS)		990
SMD444	RMEDDAYA = RMEDSA/PRWSDAYS		Proportion of days that rescue medication in AM was taken during the primary ragweed season	Mean		Number	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season PROP OF DAYS OF RESCUE MEDS - AM (RMEDDAYA)		990
SMD452	LBCFB where LBTEST = LYMPHOCYTES		LAB CHANGE FROM BASELINE (LYMPHOCYTES)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (LYMPHOCYTES)	%	990
SMD457	LBCFB where LBTEST = PLATELET COUNT		LAB CHANGE FROM BASELINE (PLATELET COUNT)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (PLATELET COUNT)	10*3 cells/uL	990
SMD460	LBCFB where LBTEST = HEMOGLOBIN		LAB CHANGE FROM BASELINE (HEMOGLOBIN)			Number	Other Pre-specified Outcome Measure	SDY1	From first vist to 20th visit	LAB CHANGE FROM BASELINE (HEMOGLOBIN)	g/dL	990
SMD422	DLYPMSEV = mean of all ZDISYM1 – ZDISYM5   where AMPM = PM		Average of the AM ALLERGY SEVERITY SCORE 	Mean		Continuous	Secondary Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season PM ALLERGY SEVERITY SCORE (DLYPMSEV )		990
SMD423	DLYSNZ = the mean of all ZDISYM1		Average of the DAILY SNEEZING SYMPTOM SCORE  	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season DAILY SNEEZING SYMPTOM SCORE (DLYSNZ)		990
SMD428	DLYAMSNZ = the mean of all ZDISYM1 where AMPM = AM		Average of the AM SNEEZING SYMPTOM SCORE  	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season AM SNEEZING SYMPTOM SCORE (DLYAMSNZ )		990
SMD436	DLYPMIWE = the mean of all ZDISYM4 where AMPM = PM		Average of the PM ITCHY EYES SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season PM ITCHY EYES SYMPTOM SCORE (DLYPMIWE)		990
SMD341	the mean of [sum (ZDISYM1, ZDISYM2, ZDISYM3, ZDISYM4, ZDISYM5)/ (the number of nonmissing observations in ZDISYM1, ZDISYM2, ZDISYM3, ZDISYM4, and ZDISYM5) for each respective DIDT] where AMPM = AM		Average of the AM ALLERGY SEVERITY SCORE before the ragweed season	Mean		Continuous	Secondary Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	AM ALLERGY BASE SCORE (BASAMSEV)		990
SMD345	BASIWED = the mean of ZDISYM4		Average of the DAILY ITCHY EYES SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	DAILY ITCHY EYES BASE SCORE (BASIWED)		990
SMD356	BASNCSPM = the mean of ZDISYM5 where AMPM = PM		Average of the PM CONGESTION SYMPTOM SCORE before the ragweed season	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	The time period between the first therapy visit and the beginning of the ragweed season (before the ragweed season)	PM CONGESTION BASE SCORE (BASNCSPM)		990
SMD370	DLYIWE = the mean of all ZDISYM4		Average of the DAILY ITCHY EYES SYMPTOM SCORE 	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season DAILY ITCHY EYES SYMPTOM SCORE (DLYIWE)		990
SMD382	For each INVID and PLNDTY, compute the following: SRWSDAYS = (the latest PLNDT where SRWSEAS = 1) – (the earliest PLNDT where SRWSEAS = 1) + 1, in days		Total number of serious ragweed season days (if ragweed pollen count >=100 for two consecutive days)	Mean		Number	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season NUM SERIOUS RAGWEED SEASON DAYS (SRWSDAYS)		990
SMD389	RMEDDAYP = RMEDSP/SRWSDAYS		Proportion of days that rescue medication in PM was taken during the severe ragweed season	Mean		Number	Other Pre-specified Outcome Measure	SDY1	For the severe ragweed season	Severe Ragweed Season PROP OF DAYS OF RESCUE MEDS - PM (RMEDDAYP)		990
SMD400	DLYAMINT = the mean of all ZDISYM3 where AMPM = AM		The mean of all the DAILY AM ITCHY NOSE SCORE during all the study days in a year	Mean		Continuous	Other Pre-specified Outcome Measure	SDY1	During all the study days in AM in a year	DAILY AM ITCHY NOSE SCORE (DLYAMINT )		990
SMD441	CAPDAYA = CAPSULA/PRWSDAYS		Number of rescue medication taken per day in AM during the primary ragweed season	Mean		Number	Secondary Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season RESCUE MEDS USED PER DAY - AM (CAPDAYA)		990
SMD443	RMEDDAYT = RMEDST/PRWSDAYS		Proportion of days that rescue medication was taken during the primary ragweed season	Mean		Number	Other Pre-specified Outcome Measure	SDY1	For the primary ragweed season	Primary Ragweed Season PROP OF DAYS OF RESCUE MEDS (RMEDDAYT)		990
